product_type_name,overall,total_reviews
Amazon Instant Video,1.0,1718
Amazon Instant Video,2.0,1885
Amazon Instant Video,3.0,4187
Amazon Instant Video,4.0,8446
Amazon Instant Video,5.0,20890
Digital Music,1.0,2791
Digital Music,2.0,3010
Digital Music,3.0,6789
Digital Music,4.0,16536
Digital Music,5.0,35580
Musical Instruments,1.0,217
Musical Instruments,2.0,250
Musical Instruments,3.0,772
Musical Instruments,4.0,2084
Musical Instruments,5.0,6938
Toys and Games,1.0,4707
Toys and Games,2.0,6298
Toys and Games,3.0,16357
Toys and Games,4.0,37445
Toys and Games,5.0,102790
Video Games,1.0,14853
Video Games,2.0,13663
Video Games,3.0,28275
Video Games,4.0,54804
Video Games,5.0,120185
