product_type_name,asin,total_reviews
Amazon Instant Video,B00I3MPDP4,455
Amazon Instant Video,B00DAHSVYC,444
Amazon Instant Video,B00I3MMN4I,417
Amazon Instant Video,B00APE00H4,384
Amazon Instant Video,B00CDBTQCW,358
Amazon Instant Video,B00I3MNGCG,341
Amazon Instant Video,B00I3MNVBW,322
Amazon Instant Video,B00B8P8O9K,313
Amazon Instant Video,B00I3MMTS8,306
Amazon Instant Video,B00CDBR1P6,288
Amazon Instant Video,B009FZFONO,273
Amazon Instant Video,B006Z48TZS,262
Amazon Instant Video,B004MWZLYC,242
Amazon Instant Video,B005544TRQ,230
Amazon Instant Video,B008QTTGGG,223
Amazon Instant Video,B00F87ZUYG,222
Amazon Instant Video,B00D5OZQUC,217
Amazon Instant Video,B00DTOYIIE,196
Amazon Instant Video,B00DQISQX6,189
Amazon Instant Video,B00I3MMQYK,185
Amazon Instant Video,B008BQ8VOC,185
Amazon Instant Video,B00H7NDSPC,170
Amazon Instant Video,B0099JKR6U,169
Amazon Instant Video,B00C7KXUOE,169
Amazon Instant Video,B008BQG3RE,166
Amazon Instant Video,B00F0XPJH6,163
Amazon Instant Video,B009IJJ5B4,162
Amazon Instant Video,B00C0OLT6S,159
Amazon Instant Video,B007JF83YY,156
Amazon Instant Video,B009SJ3GUK,147
Amazon Instant Video,B008JSO21S,146
Amazon Instant Video,B00CDBQNZU,142
Amazon Instant Video,B00CBNOBYU,133
Amazon Instant Video,B00CBNOD0W,132
Amazon Instant Video,B008EQHT4M,130
Amazon Instant Video,B009OYSFDM,129
Amazon Instant Video,B009JARQ3G,126
Amazon Instant Video,B00BLCHL4Y,123
Amazon Instant Video,B003RRW3BC,119
Amazon Instant Video,B00F3WB7FM,118
Amazon Instant Video,B00CDBTVM2,116
Amazon Instant Video,B00FOILOSU,116
Amazon Instant Video,B00BW75MKI,115
Amazon Instant Video,B00D1N6OQ2,114
Amazon Instant Video,B00EY7LT9Q,114
Amazon Instant Video,B00CDBQ9B8,112
Amazon Instant Video,B00ESNKDHA,111
Amazon Instant Video,B000VU4GW2,110
Amazon Instant Video,B008X0SGDC,108
Amazon Instant Video,B004126A1G,103
Amazon Instant Video,B001EXRQQ8,102
Amazon Instant Video,B00B2G2RG6,101
Amazon Instant Video,B00BLCHYKU,101
Amazon Instant Video,B00DZJIRFI,100
Amazon Instant Video,B000OGTRC2,98
Amazon Instant Video,B00F406S2U,98
Amazon Instant Video,B009AP3HQK,95
Amazon Instant Video,B009O6QKKK,94
Amazon Instant Video,B00F49E8O6,94
Amazon Instant Video,B0040HNZTW,93
Amazon Instant Video,B003V61JUK,89
Amazon Instant Video,B009JZTOG8,87
Amazon Instant Video,B003B63FKW,87
Amazon Instant Video,B009GX6F10,87
Amazon Instant Video,B008JSO786,87
Amazon Instant Video,B00I9AGNQS,87
Amazon Instant Video,B001QDKK3W,84
Amazon Instant Video,B008ZXSUO2,83
Amazon Instant Video,B002NWNTL0,83
Amazon Instant Video,B009IF7092,83
Amazon Instant Video,B009GEDP26,82
Amazon Instant Video,B0079W7X98,82
Amazon Instant Video,B0025Z8G4K,81
Amazon Instant Video,B004GTOKM0,81
Amazon Instant Video,B001F6ZIXC,78
Amazon Instant Video,B000MVN8GK,78
Amazon Instant Video,B00CBNO8MK,77
Amazon Instant Video,B004GEYL9M,77
Amazon Instant Video,B00ETKG8AI,77
Amazon Instant Video,B00D5P0QMY,76
Amazon Instant Video,B00D1NBQ60,76
