product_type_name,anio,total_reviews
Amazon Instant Video,2000,1
Amazon Instant Video,2004,1
Amazon Instant Video,2006,16
Amazon Instant Video,2007,118
Amazon Instant Video,2008,231
Amazon Instant Video,2009,362
Amazon Instant Video,2010,376
Amazon Instant Video,2011,725
Amazon Instant Video,2012,2727
Amazon Instant Video,2013,16019
Amazon Instant Video,2014,16550
Digital Music,1998,149
Digital Music,1999,709
Digital Music,2000,4418
Digital Music,2001,4047
Digital Music,2002,4397
Digital Music,2003,5763
Digital Music,2004,6696
Digital Music,2005,8149
Digital Music,2006,5575
Digital Music,2007,4153
Digital Music,2008,3089
Digital Music,2009,3170
Digital Music,2010,2187
Digital Music,2011,2471
Digital Music,2012,3115
Digital Music,2013,4589
Digital Music,2014,2029
Musical Instruments,2004,7
Musical Instruments,2005,4
Musical Instruments,2006,10
Musical Instruments,2007,22
Musical Instruments,2008,63
Musical Instruments,2009,128
Musical Instruments,2010,350
Musical Instruments,2011,1007
Musical Instruments,2012,1936
Musical Instruments,2013,4055
Musical Instruments,2014,2679
Toys and Games,2000,28
Toys and Games,2001,128
Toys and Games,2002,245
Toys and Games,2003,493
Toys and Games,2004,1031
Toys and Games,2005,2035
Toys and Games,2006,1172
Toys and Games,2007,1484
Toys and Games,2008,2820
Toys and Games,2009,3977
Toys and Games,2010,7381
Toys and Games,2011,14946
Toys and Games,2012,29815
Toys and Games,2013,64601
Toys and Games,2014,37441
Video Games,1999,63
Video Games,2000,1736
Video Games,2001,4935
Video Games,2002,7310
Video Games,2003,7051
Video Games,2004,7274
Video Games,2005,7824
Video Games,2006,6909
Video Games,2007,9615
Video Games,2008,13127
Video Games,2009,15270
Video Games,2010,18471
Video Games,2011,23716
Video Games,2012,29364
Video Games,2013,52460
Video Games,2014,26655
